用户ID,昵称,评论内容,点赞数
289741460,柏崇源,虽然张碧晨只唱了两句，但不得不说她的声音特质太明显了，华语乐坛的钻石音色！女神开口跪！,56617
321699947,CiceroMonster,开始有种感觉，这朵凉凉的桃花被大草原上套马杆的汉子摘走了，张碧晨一开口，感觉桃花又回娘家了🤓,50400
261393083,易亦然洋,张碧晨的那两句简直是一股清泉,31432
7904587,你给我听好nytyyu,张碧晨唱的那两句一出来，立马就觉得不一样，音色太好听，发声方式听着好高级，可惜就唱了两句,24702
319327134,Trapped_Uncle,啊啊啊啊啊啊啊啊啊啊啊啊太他妈震撼了，从第二段和音开始炸裂，蒙古小哥的混响恰到好处，等到喧嚣的间奏戛然而止，张碧晨唱出“凉凉三生三世恍然如梦”那一刻，就好像轰隆隆喷薄的炙热岩浆一瞬间化为千里冰封 寂静空灵的雪山，精彩！👏👏👏,18668
479646884,qq音乐总裁zz,我晨声音一出来直接跪了,11162
252326752,良人灬不复昔年,张碧晨好漂亮啊  路转粉,8553
308095584,银河系系主一番,张碧晨一开口简直了！鸡皮疙瘩起一身啊！,8157
436294747,#NAME?,张碧晨不愧是张碧晨阿,6985
259917129,我请你喝养乐多呀,张碧晨开口的时候 虎躯一震,6265
256420010,景尼霸,都很好听，特别是傲日其愣的异域唱腔，很梦幻,5199
118968171,公民高梦聆,会唱歌的人很多。但是声音辨识度这东西只能说老天爷给的。光听可能根本听不出来是两位男歌手。但张碧晨一开口画面感十足。[吐舌]这四个人的听的我鸡皮疙瘩都出来了。太好听了。,4975
348754039,一曲悠然黯然轻唱-,真的！！太好听了！！！没听够啊[流泪],3012
90046861,新一季家柯南更,明明三个歌迷唱的也很好阿。女生声音很有纯度。男生一个走沉稳路一个人走清亮路线。和声也很合拍没有很突兀，加上了婉转的长调和声也很有辨识度阿。不否认张碧晨唱的好也不用捧着她去踩别人。三位和张在一起谁也不差谁。唱腔各有各都特色都很好。夸可以，没必要踩。,1058
5990786,Eywlle,张碧晨唱的好是好，但是也没有你们说的那么好，前边的伴音比较高亢，显得有些嘈杂，张碧晨那两句突然静下来了，有些空灵，宁静的感觉，有了音势上的反差，所以比较突出,879
﻿用户ID,昵称,评论内容,点赞数
3667661,G和弦滴根音,爷爷病重，考研失败，骑士也没夺冠，今年似乎一切都不顺利。明天就要离校，辗转难眠，我的亲人和理想你们慢些走[皱眉],560234
77193976,大赫学摇滚,你们谁能想到  这是我高中室友  果然坚持了音乐梦想  加油！！！！！！,476138
94482910,小时候可猛的春天,谢谢大家的赞，刚刚在学校官网拟录取信息里看到了自己的名字，忽然就忍不住流泪了…我是个大专生，然后上了专升本，第一次考研又失败了，这次是考研二战，我终于成功了…憋屈了六年了，这六年好难熬…现在瞬间释放了所有…感谢路上帮助过自己的每一个人，感谢不甘心的自己,303278
111043549,嗨嗨嗨戴伟,她说民谣太穷了，一听就是一根烟，一听就是一瓶酒。而我只有一根烟了，还要撑一夜，只剩一点爱了，还要过一生。,217788
26841457,我非如此不可,"如果有真有男生对我唱这首歌
我他妈就嫁了",146014
86621942,回忆哆啦没有A梦,有一个民谣青年曾说：最单纯的喜欢就是，就算你拒绝了我，我对你也永远没有埋怨。但我不会再靠近了。如果你有求于我，我依然会鞠躬尽瘁。从今往后我会把喜欢藏起来，不再招摇过市了，我会努力过得好，希望你也是。,115802
107354342,她说你别惹我臭狗屎狗屁玩意儿,大学倒数第二次班级聚会KTV通宵，第二天早上不知道谁点的这首歌，女友超级喜欢但没记得歌名，没想到第二天在南京火车站的肯德基又听到！外面太吵，躲进厕所，记下一句歌词，在手机的网易搜索歌词搜到了，贴近她耳边，看她笑颜如花！[爱心],66083
35455937,黄山梁朝伟,我妈中午修机器的时候，手指头被压断了一节，到医院时，我妈让我把断了的那节指头给扔了，我骗她已经扔了，偷偷打开来看，纸巾包裹着，漆黑又血肉模糊，夹杂着几根钢丝在里面，散发着车间里独有的味道。47岁的她已经在车间忙活了近30年，指甲里都是陈年的黑色，洗不掉。是儿子没用，不能让你过上好日子,55159
64419057,无赖CCXX,第一次听就单曲循环,45367
89482563,帐号已注销,💭小时候我爱哭，妈妈骗我，你再哭警察叔叔就抓走你，我一怕就收声了。长大后真喜欢上一位警察，在一起六年，双方父母闹了六年。最终他选择回归正常生活，跟别人结婚去了。他结婚那天，我呆坐在家门口，忽然想到什么，回头笑着对妈妈说:您说，我现在哭，警察叔叔会把我带走吗？妈妈哭了。,43295
34150990,唱完这首歌我就醒,像是有人扯过耳机唱歌给自己听,38312
16295800,素人-尘埃,距离高考还有91天，刚刚结束一模，考的很不理想，我不想总是给自己一次又一次的机会，之前都是看别人高考，现在轮到我了，心里真的很复杂，力不从心又着急。,37210
508641434,琦猪快跑,"理想三旬♡
一旬败给年少轻狂的理想
二旬败给青涩无知的爱情
三旬败给沧桑寂寥的现实",36011
504570801,messier丶xq,今年是我第4次高考，家人很不理解，身边朋友也一个个淡去，  只有我自己知道我想要的是什么，我想摆脱这种瞧不起梦想的环境。  [哀伤][哀伤],30546
54957109,帐号已注销,才情四溢[爱心]喜欢到不行,27361
﻿用户ID,昵称,评论内容,点赞数
19389416,墨_小宝,林俊杰最不能黑的就是唱功和人品,58469
19389416,墨_小宝,典型的林氏唱腔，是那么的特别。 东方的细腻，西方的共鸣，并不是SLS可以解释的，毕竟林俊杰之后学SLS的人有很多。,33572
19664522,Shawn_SYSU,林俊杰后期的情歌越来越大气的感觉啊，从作曲到编曲再到词都显得成熟很多,22951
67402011,荒芜中无尽呐喊,全专都是live，不要怀疑，因为他是林俊杰，行走的CD，专业修音响三十年,22839
264041713,中国十三少,还有谁是看了《极限挑战》来听的？,18412
100431610,橙子鱼Orange,🙄已加入ktv唱个屁系列豪华套餐,13467
106514634,大Zj,俊杰的歌越来越只能听不能跟着唱了[惊恐],11596
51278871,刘建鎭,"JJ Lin跟Jay的最大区别在于停顿。俊杰喜欢用哦，耶，咦等词在每句歌尾来做转换。而周杰伦作曲的停顿是很少的, 重音比较多的集中在每句歌词的第一个字。所以给我的感受一个是不拖泥带水的风格，而另一个是细腻的诉说。不过两个都喜欢, 看个人性格偏哪一款多一点会有更多一点的共鸣。[钟情]新专辑已购。",9708
92825807,JFORJ,"04 关键词 The Key
制作人：林俊杰
词：林怡凤 曲：林俊杰 编曲：吴庆隆
配唱制作：林俊杰 录音环境：The Esplanade Concert Hall(Singapore)/ the JFJ Lab（值得一提的是，不为谁而作的歌是在音乐厅观众席录制，这首则是在指挥的位置录制）",9671
11851621,甜筒的郎君,开口跪……[爱心],8845
101815692,fshirley,"歌很好听，很喜欢~但是这歌名。。。关键词- -就没人想到class,public,static...么[汗]PS：I‘m a girl.感觉无可救药了[大哭]",7811
31002313,夏天flower,记得宫崎骏说过，人的创作黄金期大概为10年。本来以为10年足够把大家的灵魂创作谱写成为经典，但是JJ音乐创作十多年了，作品越来越动人，包含了他对这个世界的大爱和对梦想的坚持，是如同迈克尔杰克逊一样的灵魂歌者。[憨笑],7543
109169919,HopingH,落叶的位置开始，真假音没了界限,6541
56011501,特立独行的种猪,啊。偶像啊。在你这里留言是我的荣幸啊。我不管，我要疯了。JJ，我爱你。。[惊恐][色],5500
1476854633,adinmcg,"不开心的时候请假装乐观,装着装着可能就像了。
《李宫俊的诗》",3130
﻿用户ID,昵称,评论内容,点赞数
5989983,___我麋鹿啦,百无一用是深情，不屑一顾是相思,70068
107023058,弹钢琴的奶瓶,和他的聊天记录156MB，    今晚终于删除了。,49820
80199518,水溶e,明明千丝万缕 偏说一丝不挂,31792
87374136,江户川木木希,真羡慕广东的朋友，不用学粤语，直接可以唱粤语歌，这歌就是再模仿发音也没有原来的味道[流泪],23851
38252754,Mr-TambourineMan,《一丝不挂》《钟无艳》《春秋》，简直是林夕的“苦情三部曲”。,20178
7370913,阿塔尼斯st,今年死活考研都是为了一个姑娘，上午得到录取通知，下午我去找她，万万没想到，她告诉我就在我来北京复试的前几天她已经接受了别人。我想到她可能会拒绝我，但万万没想到被别人截胡。她给了我最美好的希望，然后在我面前把这份希望亲手撕得粉碎。这种残酷已非语言能够形容回家的火车上，几乎一夜无眠！,18867
20385517,Addicted-朴孝敏,[大哭][大哭][大哭]我一点都不想跟风但是真的好喜欢陈奕迅,15430
247688246,4399Ada,评论里说一朝失恋就听懂了所有的陈奕迅，而我听一首陈奕迅就好像经历了一次失恋。,14759
77713101,Lucius1874,我觉得这是陈奕迅最好的一首歌（个人观点，不喜勿喷),13099
93060705,小细腿和大长腿,诗文中虽一次都未出现“一丝不挂”，但全诗中到处缠绕着“丝”。像牵连，松绑，摆脱，围绕，遥控，勒，扯线木偶，线，拿捏，青丝，系，舍割，断线风筝，牵引，结，脱落，牵动，撕裂，束缚，绳索，等这些词语，贯穿全诗。可以说，全诗几乎都在围绕着记忆在写“丝”。,10810
15455789,鸽肥科,林夕太有深意了，陈奕迅碰到他真是上天安排的。,10015
116981749,_Yew_,明明千丝万缕 却说一丝不挂,7722
108744391,今天我要听十次,我知道人人都向往自由，但爱上你以后我选择了束缚。,7201
34562014,megix,从未读懂一首歌像一丝不挂般深刻。,6424
38097368,宥博的梓哲,大神之作，港乐巅峰。,5774
﻿用户ID,昵称,评论内容,点赞数
38764299,发条飛,"曾看一个问题“既然人生总是痛苦，那么为什么还要繁衍后代，让他们继续这种痛苦？”
回答言简意赅：为了生命中那些美好瞬间
大抵生命的浓度便是：温度、冲动、温柔、得奖、升职、新婚、成为父母；
用相机定格的瞬间，平凡的日子也可以成为游乐人间的理由，
我们不用遗憾时光流逝，其实人生并非虚耗。",31805
2878080,Tracy-t,畢竟陳奕迅,13811
58243834,聋王,马上毕业了，我分别把四年来给他们拍的照片整理好了，等毕业那天，我会偷偷的考到他们的电脑上。不知不觉，我记录了别人的四年，却没人记录我的四年。,13274
280644213,LiuWengLoN,愿所有喜欢陈奕迅的姑娘，最后都被一个你深爱的男人收留，允许你疯狂的追逐，疼爱你每一次远行，尽所能的，和你一起，去见那人。愿所有喜欢陈奕迅的男生，最后都有一个你深爱的女生，懂你所懂，爱你所爱，在你追逐梦想的道路上，为你呐喊助威，不离不弃。,10387
46009396,臣大橙子,这首歌也能听一辈子,9234
53243636,卡夫卡奥利奥,"“现在听陈奕迅的人越来越多了”
“为什么？”
“因为当年听周杰伦唱歌的孩子都老了阿”",7306
32697076,满城红袖招,依旧黄伟文，妙心好词，人生岂是虚耗，珍惜时光吧,5941
1101247,费夕,喜欢摄影这么多年，按下快门一刹那的意义，就是这首歌的歌词。,5792
260098018,谁也拯救不了的寨子鬼,喜欢陈奕迅—发现杨千嬅—爱上谢安琪—逃不过张敬轩—离不开网易云—变成电子乐停不下来的狗。只有我一个人这样？,5747
136345464,Yausyu,记得广东那年的高考卷有人用了Eason的这首歌词拿了满分,5262
19450805,我们不如这样就掏空了虎,eason‘s life 演唱会曲目中最期待的粤语歌，男人四部曲之一，去年青岛你用你那谈不上低沉的嗓音让我眼红，听现场版沙龙我留着几行泪真的可以说是欣赏完的，这首歌穷尽一个男人的人生观，人生并非虚耗，只管追你爱好的理想哪怕是有人诟病的名利,3680
49232356,SpacEboundD,黄伟文的词，陈奕迅的声音，超级配,2141
1233061,岚煦,这次Eason演唱会上的新发现，太好听！,1929
100521262,Allen0610,前年带她去了大连的Eason演唱会，如今分开也一段时间了 得知Eason今年演唱会行程 甚至没过多思考直接买了两张五月二十一号的票 我觉得这事没人能够阻止我 虽然知道她现在过得不错 但也还决定给她打电话问她要不要一起去，即使回答否定 我也会带着两张票自己去郑州。,1705
42590135,帐号已注销,单曲循环。,1401
﻿用户ID,昵称,评论内容,点赞数
42564402,帐号已注销,我跟我喜欢的女孩子相差3岁，她总是嫌弃我太小，两个人就一直这样错过啦，中秋我也要回家相亲了，哦对了，今年9.3号她结婚了。,78120
82373997,我爱你不等于你爱我,看着你们各种秀年纪，什么初中生都来凑热闹，大三岁小三岁，有什么呀，我现在喜欢的女生特么都比我小十三岁，我跟谁说去呀，说了会点赞吗[撇嘴][撇嘴][撇嘴],59858
37460957,大笑de腹泻宝宝,恭喜我吧，我老婆大我3岁，今天领证了！！！她一直当我是小朋友，婚检怀了双胞胎。新的未来刚刚开始~2016.6.28[吐舌],38215
67272339,_Oras,真开心让大家看到歌词滚动了起来,27561
57137476,Samurai_赵從良,好奇怪噢，我喜欢的姑娘都比我大三岁，可是我才初三[哀伤],23036
70477535,听歌快闭嘴吧,听到这声音躺尸的我坚强的爬起来按了红心！,17679
30021996,海怪的怪,我91年，他比我小三岁，今天给他听这首歌，他对我说“你一直觉得我比你小，你三十几的时候我还是二十多，到时候你皮肤不光滑了，身材走形了，哪里都比不上小姑娘了，你怕我会变，我不会变，我爱的是你，不是你的身材你的皮肤，既然我觉得年龄不是问题，那么这一切都不是问题。”我哭了一晚上[流泪],14460
105720002,盐温,日 网易不仅知道我追啥番 喜欢民谣还是摇滚 知道我今天想听慢歌还是快歌 还特么知道我跟我对象差三岁！,12232
257701665,-夜樱-,一早到公司搭电梯时巧遇老总，只有我们两人。老总那个严肃阿，害得我紧张得要命。老总说帮他按9楼，我却鬼使神差按了10楼，瞬间懵逼了，又脑抽伸手按了 “-1” 。最后老总出电梯时直摇头，隐约听见老总嘟囔道 : 公司人事部怎么要了这蠢货。,10640
42564402,帐号已注销,他02年的啊,10053
39727502,翟小树,跳着舞唱着歌，和她差三岁却像隔一世，童话里的青梅竹马因为三岁，从没有发生,8600
53354383,DreamOfDay,我爱的姑娘大我三岁   我的生日大她三天   我追了她三年  我们相爱六年    今年结婚   感谢你陪伴在我的生命里…,8509
19069741,牧首小二,第一次听以为是走过时间的鬼。想想也是可以的😂,6384
60178732,涧山水,今晚周杰伦的演唱会 一个月以前他买了票  我们就是相差三岁 歌词句句唱进我的心 分手了 今晚的演唱会他去了没有 ,5740
37829934,gailhuang,阿敬在长沙帮邵夷贝暖场,3318
﻿用户ID,昵称,评论内容,点赞数
294240611,天才少女暴暴,"陈奕迅《低等动物》
窦唯《高级动物》
简弘亦《群居动物》
蔡健雅《双栖动物》
许嵩《违章动物》
李荣浩《野生动物》
薛之谦《动物世界》
动物：？？？？？？",367139
368279651,大汁啊,他们说听到薛之谦这个名字的我像疯子他们说听到薛之谦的歌时像个疯子我觉得我只有在喜欢老薛的时候才会义无反顾，不在乎别人眼光，告诉别人这是我偶像。,106656
280037823,在草长莺飞的季节喃喃低唱,老薛你按照这节奏下去   ，第二首脱外套，第三首脱衬衫 第四首脱...脱....脱裤子？？？[呆][呆][呆][呆],83390
84627002,_凡宝,不在巅峰慕名而来，不在低谷离你而去。   这个世界有时很坏，愿你被温柔相待。因为你值得被认真对待。[爱心][爱心]@薛之谦,47106
256482126,嗯哼我的蛋挞呢, 看到《动物世界》这个歌名，本来以为都是《猴子捞月》里“不见啦，不见啦”，这种自带萌点的歌词。认真看完歌词，不知所言。“努力进化 笑动物世界都太假，相爱相杀 ，一定有更好的办法，得到了你就该丢下，优胜劣汰 ，自舔伤疤”。这些直击人心的歌词，突然想问问自己是否也曾为“贪念不惜代价”？,39185
395039259,黑桃一,今天发行的歌 今天我的生日 虽然没有人会注意到 但这首歌就当是礼物了吧 孤独的人啊 祝自己快乐 可能会被埋没在评论里吧 哈哈 无所谓了,39060
83036154,是杏仁核不是杏仁核,《动物世界》作词：薛之谦  作曲：郭顶   两个人多次合作《伏笔》《小孩》《潮流季》等等，都是很优秀的音乐人。这一次《动物世界》不同于《高尚》带来的压抑却也是另一种感受。,26939
86793183,子不嗣音,是啊！人们总在努力学习着，伪装着，进化着，想变得高贵优雅。但同时又在互相攀比着，互相伤害着。我们以为我们与动物世界不同，但其实我们与动物世界又有多少差别呢？,25633
294218574,虔缱仟谦,副歌好听极了！尤其是“人类用沙 想捏出梦里通天塔 为贪念不惜代价”这句！剖析感情的词，搭配以钢琴为基调提琴家族为辅的曲编，带听众来到属于薛之谦的“动物世界”...此刻听这首歌的人啊，别害怕...我们还不算孤寡...,23535
132172059,艾丝昂,人是群居性的动物，可是孤寡却也是与生俱来的啊。前路漫漫，尔虞我诈。很多时候，你越挣扎，你就陷得越深。所以啊，人这一辈子，还是要学会好好地和自己相处。,17841
294875535,i7xx,如果高尚是薛之谦描写当下病态生活里的价值观，那动物世界这首歌就是他描写扭曲感情观里的人性，戳心的歌词 走心的曲调 让我们感受到这些年沉淀成细腻诗人的薛之谦最深刻的音乐独白。,16681
295470784,如若相惜Y,从相爱相杀，一定有更好的办法，再到相爱相杀 ，别再想更好的办法 ……希望终究变成了无奈的绝望[心碎][心碎][心碎],14584
294020270,帐号已注销,动物世界的相爱相杀，人类世界又何尝不是。但愿被揭开伤疤时，别太浮夸。毕竟这世界太孤寡。,11165
512303574,撰长书为贽,曾经我和同学上川藏线，在路边给藏羚羊喂水，一会工作人员过来赶走了羚羊，我很疑惑问他为什么，他对我:“如果不这样，它们会认为人类是善良的。”三年了，难以忘怀这句话。,9611
70405477,乔之蓁蓁,"别伤感谁比谁高贵，也别计较谁比谁孤寡。或许我们都在笑看每个人生于理想和爱，脚步却陷在欲望里无法自拔。直到最后只有时间是最大的赢家。",8510
﻿用户ID,昵称,评论内容,点赞数
122126878,帐号已注销,"又是一副很有态度的歌词
谦谦的歌词一直很戳人心
这个时代太多无病呻吟
很多的阴暗面被掩盖
我们被蒙蔽在这个看起来美好的世界里
但是薛之谦是为数不多的清醒者
如果说唱情歌的薛之谦柔软
那么唱这首歌的薛之谦是睿智而刚毅的独行者
谢谢你 从来不曾让我们失望 
",152394
256482126,嗯哼我的蛋挞呢,"“愿形容我的词 别太荒唐”
很久很久以前......
一路人看见薛之谦
坐在一家餐厅椅子上
边哭边看一个流浪歌手唱歌
这件事其实比很多很多
薛之谦帮助别人的事情
给我带来的震撼更大
我不想说我爱豆多好多善良
人不都那样吗
但我知道我的薛先生应该
是怎样温柔而通透的人啊❤️
（谦友微博）",71332
283469158,居延souly,二十多分钟，我想过各种华丽的词藻评论。然后一个字一个字删除。不敢评论。深夜，戴上耳机，放大音量，欣赏这首让我浑身颤抖又惊艳的歌词。你看，别说他在综艺上的疯癫，其实他比任何人活的都清楚透彻啊。,63436
82723749,帐号已注销,你后来的歌都多少带了些阴郁 似乎在宣泄什么,57527
70405477,乔之蓁蓁,听着这首歌，陷入人来人往，我却看到万籁俱寂……,38933
132172059,艾丝昂,"狼藏起反犬旁，像从了良。这一句写得太棒了，多少人戴着面具，让人琢磨不透。
自尊与高尚，连自己都看不上的疯狂，这些字眼看似抽象，却是如此用力地刺入听者内心。
谁可以保证自己在世间的纷扰中不迷失了原来最纯粹的模样呢？",37667
86793183,子不嗣音,你是谁...歌手?还是诗人?你窥见的社会是什么模样?你随和幽默的外表下究竟藏着一颗什么样的内心，才能写出这副词?,26393
122329814,张体贴,"喜欢你的歌不是因为你的节奏多奈斯
只是因为我愿意跟随你的歌声
被你带入你阐述的故事 
感受每一份撕心裂肺 
感受每一份歇斯底里 
感受每一份无奈蹉跎 
当然 我们都有类似的每个经过[皺眉] 
你的世界很大 我的深情就像一粒沙 
我的世界很小 最美的风景就是你的笑[鬼脸]感谢你 我谦[機智]",22981
96593547,Y老头儿,《高尚》歌曲描写当代价值观、感情观，让人觉得压抑的同时又在最后给了一线希望。愿为生活奔波的人，有一天抬头就能看见明媚蓝天。[爱心],19381
369165364,天空草儿,不再是苦情歌，听起来却更压抑绝望，我多向往有个美丽的地方，我最初的模样没痛也不会痒,15667
19389416,墨_小宝,如果这是薛之谦真正的内心世界，再去看他的综艺，会不会哭出声来,15368
69946188,大麦麦Ethan,留心的人会发现，这首词，99%的句尾都押ang韵，也就是江阳韵。这种韵铿锵而大气，坚定又豪迈。薛之谦在听上去有些压抑的曲风里写着这样的词，是尽情地在宣泄、呐喊，同时鼓舞。不要以为他只是表达抑郁，这像是暴风雨来临前力量的暗涌，他有比谁都渴望刺破灰暗的正能量！,8329
430537084,不羡不叹不悔-,这首歌其实是反讽 在别人眼里谦谦是个高尚的人 坚持音乐不放弃  可只有他自己知道 他一点都不高尚  他想红但他觉得那是个阴阳怪气的愿望而且还为了这个愿望在综艺里“向自尊开枪” 听到别人赞美他会膨胀 但他认为别人是高估他了 他想念从前无欲无求的自己却又在继续追求着什么 最矛盾的心理,5875
39646633,断角的怪物是鹿,这个看似无所谓，笑起来没心没肺，疯起来肆无忌惮的人有着不为人知的一面。或许他在夜里辗转难眠，阴郁无言。循环听了3小时40分，看评论从187条涨到两万，看了很多人的评论，只想说，经历过的人会懂，爱他的人会懂。越是理解他的词，就越是理解他的心情与愿望“世界和平”。喜欢这样真实的你❤️,3134
289986683,削支铅笔芯给你,你只要动动手指，急于解释的粉丝就落入陷阱。果然，这个世界，病态得不止一点点。总说他用力过猛，一个如此澄澈之人，大概是比不上你们做键盘侠时的云淡风轻…,2501
﻿用户ID,昵称,评论内容,点赞数
83244606,新垣義馬,"记得在书上曾经看过  往左边侧着睡是最不对的睡法   因为压迫心脏   容易引起噩梦
不过后来我经常这样侧着睡
不是我没有做噩梦
而是因为





每次的梦里都有你",114464
263835978,如青稞,因为离校手续出了问题，我自己留在宿舍打游戏。室友一个个的离去，开始也没觉得怎样，游戏从早上打到下午，点外卖的时候习惯性问室友吃什么，结果回头空荡荡的宿舍只有自己。夕阳从外照进来像是午觉突然醒了，孤独在黄昏里跳动，心脏像是挨了一记闷拳。孤独就像人说的那样，最后走的人关门最轻。,80451
15587359,三茶姑娘,微笑不露声色的张扬！说的是达康书记吧23333[大哭][大哭][大哭],46796
113767914,几位开心,高考失手来了一所很差的本科大学。学费很贵，很心疼妈妈。室友全是来混日子的，每次在寝室里学习都会面临讽刺……但是，我还是选择考研，我一定要考上梦寐以求的大学。希望2020的我对得起这条留言[大笑],39086
394054330,程烨i,"我想跟你一起去看五月的海，
在六月的暖风里奔跑，
撑着伞走过七月的雨夜，
而我只是在四月的早晨醒来，

想起你。",35808
443795649,Jam的眼睫毛,"喝一碗西苑冷汤
多么潇洒而昂扬
我伫立七月上
凝望南瓜饼子店的灯光
好想为你歌唱
但我不会山高水长
因为我喜欢你
所以这并不悲伤",28543
114065656,金克丝的威猛先生,小孩眺望远方，成人怀念故乡，我们从挣扎着松绑到思念的投降，大概这就是成长,27703
267929172,思凡思心,已经听了60遍了，这哪是歌，根本是一碗酒,26063
257038289,许文杰i,小学时和同学老师打雪仗，不知是不是下手太重了，老师蹲在地上哭了起来，那时候就在想老师太不经打了，以前你用尺子打手我也没哭过呢。许多年后回忆起这件事忽然明白，也许她不是被打哭的。白茫茫的雪地中和一群单纯的孩子追逐打闹，她一定是被这景象触动了吧。毕竟在这个年纪不会再有人陪你打雪仗了。,24026
330020508,帐号已注销,明明知道没有结果 却还有坚持下去的冲动 我知道遇到你不容易 错过了会很可惜[皱眉],19445
103780233,雾与晨,生活在这声色犬马的世界，你总是不露声色的歌唱。在我眼里不张扬，不露声色才是你的本色。,16978
400867211,talktome_,"我妈爱了我二十年我还跟她吵架
你不过爱了我几个月我就跟你低头服软
我对不起我妈  你也对不起我",15887
250155251,无子期,"我想去见你
在你生活过的城市开一家店
叫渡情
这家店只放张国荣民谣古风
这家店只卖咖啡和茶
这家店只会有白绿相间的装饰
这家店的我只等你
这家店只有一家
这家店……将来它会在苏州
现在我十八岁，二十八岁我就开。",13657
316273059,浅唱_格调,高中毕业后，上了一所不知名的大专，在学校很努力，连续两年拿到了国奖，如今毕业后工作一段时间准备考研，不敢告诉亲戚，因为告诉后会有无尽的怀疑与唏嘘。即便这条路再怎样孤寂，身后空无一人，也要含泪走下去！希望2019年对得起这条留言！,13229
349905661,一年后再见我,东野圭吾说：曾经拥有的东西失去了，并不代表就会回到原来没有那种东西的时候,12954
﻿用户ID,昵称,评论内容,点赞数
42268586,镇安府土孩,“像被子里的舒服，又像风捉摸不住”不是屁是什么？[呆],400629
30786877,神棍伽利略,姐妹篇——我的滑板鞋。像爱不释手的 红色滑板鞋。,125658
5227351,顾小古,当初喜欢一个女孩子，不敢表白，最后和另一个女孩在一起，后来知道那个女孩也喜欢我，呵呵，疯狂却怕没有退路,112233
124856292,墨染云峰,七年前第一次遇到她，从此心里就永远印上了她的影子。那时我在美国，她在北京，找了好多喜欢的英文歌发给她，好多歌曲都带有自己的注释，她也给我回了好多首，第一首就是它。听着这首歌，想着她的一颦一笑，眼泪不自觉的就会流下来。如今我也来到了北京，她应该就要嫁人了吧。七年了，我再也没有见过她,85924
109658042,黑人不怕紫外线,刚上大学那年谈了一场异地恋，刚巧她生日前我又穷困潦倒的像狗一样，还是坚定的找哥们借了三百块钱，挑了一双玫瑰红的高跟鞋，我知道她三十八码，偏偏挑了双三十六码，就是让她一直记得曾有人送给她一双好看而不能穿的鞋,61340
41822974,夫子不语,高一的时候学校每天中午放学都放，导致现在一听这歌就想就想向外冲,32542
45344048,糟糕外星人,愿你有高跟鞋也有跑鞋，喝茶也喝酒。愿你有勇敢的朋友，牛逼的对手。愿你对过往的一切情深意重，但从不回头。愿你特别美丽，特别平静，特别凶狠，也特别温柔。,32392
71955713,气chuan吁吁,李荣浩的老街，蔡健雅的红色高跟鞋，孙燕姿的遇见，陈奕迅说好久不见，可以组成美美的一幅画,27332
44454186,大脸爱小脸,高三那会，我跟我的初恋互相暗恋一年，她最爱的歌曲。高考后我跟她表白，直到现在。我们很好，准备16年结婚纪念我们的7年之痒,20808
2865902,帐号已注销,可是，我没有高跟鞋。我更没有红色高跟鞋。[撇嘴],18507
550990308,Anoxia170726,3年前是一个不起眼的兵，你是一个无数人羡慕的白领，就这样我们相恋，3年后，我还是那个不起眼的兵，你已是别人怀里的宠儿，无数次试想是不是我不够好，但我必须守护国家的领土，无数次在青藏高原的山上看日出回忆着你说的我不关心你，也许是我的错，但我不后悔，因为我有更多人需要守护。[爱心],16378
561520874,CashvsKeNsRemix,我怀疑月老拿着我的红线去织秋裤了,13215
50104271,Mr_小刘同学,98年，两小无猜。04年，传纸条。08年，深吻了。13年，你结婚我未婚。15年，你离婚致电给我。7月我醉了一宿。,12655
487830971,卡布其诺之恋,我谈了一场恋爱，对着手机哭，对着手机笑，最后分手了也没能抱一抱[哀伤][哀伤][哀伤],10250
564067301,棹顾,"""原来成年人的感情
是不追问 是不解释
是心照不宣 是突然走散
是自然消减 是一种冰冷的默契"" ​​​",10247
